source,target,type,weight
AT4G20320,ath01100,participates_in,
AT4G20320,ath01232,participates_in,
AT4G20320,ath01240,participates_in,
AT4G20320,GO:0005634,located_in,
AT4G20320,GO:0005829,located_in,
AT2G21800,GO:0006281,annotated_with,
AT2G21800,GO:0006310,annotated_with,
AT2G21800,ath03440,participates_in,
AT2G21800,ath03460,participates_in,
AT2G21800,GO:0005634,located_in,
AT1G07430,GO:0009788,annotated_with,
AT1G07430,GO:0009939,annotated_with,
AT1G07430,GO:0010030,annotated_with,
AT1G07430,GO:0048838,annotated_with,
AT1G07430,GO:1902531,annotated_with,
AT1G07430,ath04016,participates_in,
AT1G07430,ath04075,participates_in,
AT1G07430,GO:0005634,located_in,
AT1G07430,GO:0009507,located_in,
AT1G21230,GO:0007166,annotated_with,
AT1G21230,GO:0005576,located_in,
AT1G21230,GO:0005886,located_in,
AT3G48470,GO:0009793,annotated_with,
AT3G48470,GO:0051083,annotated_with,
AT3G48470,ath03460,participates_in,
AT3G48470,ath04142,participates_in,
AT3G48470,ath04156,participates_in,
AT3G48470,GO:0005634,located_in,
AT3G48470,GO:0005829,located_in,
AT4G23640,GO:0006813,annotated_with,
AT4G23640,GO:0009826,annotated_with,
AT4G23640,GO:0009932,annotated_with,
AT4G23640,GO:0048825,annotated_with,
AT4G23640,GO:0071805,annotated_with,
AT4G23640,GO:0000325,located_in,
AT4G23640,GO:0005739,located_in,
AT4G23640,GO:0016020,located_in,
AT5G06440,GO:0005634,located_in,
AT5G06440,GO:0005739,located_in,
AT1G04730,GO:0007062,annotated_with,
AT1G04730,GO:0005634,located_in,
AT1G04730,GO:0005657,located_in,
AT5G66290,GO:0005634,located_in,
AT5G66290,GO:0005739,located_in,
AT5G66290,GO:0009536,located_in,
AT1G09932,GO:0005634,located_in,
AT1G09932,GO:0005737,located_in,
AT1G09932,GO:0005739,located_in,
AT3G29630,GO:0009507,located_in,
AT1G16430,GO:0006357,annotated_with,
AT1G16430,GO:0005634,located_in,
AT1G16430,GO:0016592,located_in,
AT3G13580,SF_response_upregulated,has_response,0.247021676084855
AT3G13580,GO:0000463,annotated_with,
AT3G13580,ath03010,participates_in,
AT3G13580,GO:0005737,located_in,
AT3G13580,GO:0005829,located_in,
AT3G13580,GO:0022625,located_in,
AT3G13580,GO:0022626,located_in,
AT1G48550,GO:0006886,annotated_with,
AT1G48550,GO:0042147,annotated_with,
AT1G48550,GO:0048768,annotated_with,
AT1G48550,GO:0005622,located_in,
AT1G48550,GO:0005634,located_in,
AT1G48550,GO:0005768,located_in,
AT1G48550,GO:0005829,located_in,
AT1G48550,GO:0010008,located_in,
AT1G48550,GO:0030904,located_in,
AT5G41390,GO:0005886,located_in,
AT3G16530,GO:0002239,annotated_with,
AT3G16530,GO:0010200,annotated_with,
AT3G16530,GO:0005576,located_in,
AT3G16530,GO:0005634,located_in,
AT3G16530,GO:0005829,located_in,
AT3G16530,GO:0009505,located_in,
AT3G16530,GO:0048046,located_in,
AT4G31450,GO:0008150,annotated_with,
AT4G31450,GO:0005634,located_in,
AT5G58170,SF_response_upregulated,has_response,0.272798310130527
AT5G58170,GO:0006629,annotated_with,
AT5G58170,GO:0009860,annotated_with,
AT5G58170,GO:0048868,annotated_with,
AT5G58170,GO:0009507,located_in,
AT5G58170,GO:0016020,located_in,
AT1G70210,GO:0000082,annotated_with,
AT1G70210,GO:0000307,located_in,
AT1G70210,GO:0005634,located_in,
AT1G70210,GO:0005737,located_in,
AT2G36110,GO:0005634,located_in,
AT2G36110,GO:0005737,located_in,
AT4G32610,GO:0005634,located_in,
AT5G48000,GO:0010268,annotated_with,
AT5G48000,GO:0016132,annotated_with,
AT5G48000,GO:0048364,annotated_with,
AT5G48000,GO:0005783,located_in,
AT5G48000,GO:0009507,located_in,
AT5G48000,Trait_DTFplantingSummerLocSweden2009,associated_with_trait,
AT3G47650,GO:0061077,annotated_with,
AT3G47650,GO:0110102,annotated_with,
AT3G47650,GO:0005829,located_in,
AT3G47650,GO:0009507,located_in,
AT3G47650,GO:0009570,located_in,
AT3G47650,GO:0101031,located_in,
AT2G34470,SF_response_upregulated,has_response,0.164373471882183
AT2G34470,GO:0043085,annotated_with,
AT2G34470,GO:0005737,located_in,
AT5G42320,GO:0006508,annotated_with,
AT5G42320,GO:0005576,located_in,
AT5G42320,GO:0016020,located_in,
AT3G48880,GO:0050829,annotated_with,
AT3G48880,GO:0005575,located_in,
AT2G16780,SF_response_upregulated,has_response,0.270802230528265
AT2G16780,GO:0006338,annotated_with,
AT2G16780,GO:0006355,annotated_with,
AT2G16780,ath03082,participates_in,
AT2G16780,ath03083,participates_in,
AT2G16780,GO:0005634,located_in,
AT2G16780,GO:0080008,located_in,
AT2G22910,GO:0006526,annotated_with,
AT2G22910,ath00220,participates_in,
AT2G22910,ath01100,participates_in,
AT2G22910,ath01110,participates_in,
AT2G22910,ath01210,participates_in,
AT2G22910,ath01230,participates_in,
AT2G22910,GO:0005737,located_in,
AT1G71240,GO:0005739,located_in,
AT4G19120,GO:0000138,located_in,
AT4G19120,GO:0005634,located_in,
AT4G19120,GO:0005737,located_in,
AT4G19120,GO:0005768,located_in,
AT4G19120,GO:0005794,located_in,
AT4G19120,GO:0005802,located_in,
AT2G17975,GO:0009737,annotated_with,
AT2G17975,GO:0005634,located_in,
AT2G17975,GO:0005737,located_in,
AT1G30680,SF_response_upregulated,has_response,0.135692327746549
AT1G30680,GO:0005739,located_in,
2029,SF_response_upregulated,has_response,0.205725543306903
AT4G33080,GO:0016310,annotated_with,
AT4G33080,GO:0035556,annotated_with,
AT4G33080,GO:0005634,located_in,
AT4G00740,GO:0042546,annotated_with,
AT4G00740,GO:0045489,annotated_with,
AT4G00740,GO:0052546,annotated_with,
AT4G00740,GO:0000138,located_in,
AT4G00740,GO:0000139,located_in,
AT4G00740,GO:0005634,located_in,
AT4G00740,GO:0005737,located_in,
AT4G00740,GO:0005739,located_in,
AT4G00740,GO:0005768,located_in,
AT4G00740,GO:0005794,located_in,
AT4G00740,GO:0005802,located_in,
AT4G00740,GO:0016020,located_in,
AT4G15260,GO:0005575,located_in,
AT2G30110,GO:0006511,annotated_with,
AT2G30110,GO:0006974,annotated_with,
AT2G30110,GO:0016567,annotated_with,
AT2G30110,GO:0051707,annotated_with,
AT2G30110,ath04120,participates_in,
AT2G30110,GO:0005634,located_in,
AT2G30110,GO:0005737,located_in,
AT2G30110,GO:0005777,located_in,
AT2G30110,GO:0005829,located_in,
AT2G30110,GO:0009506,located_in,
AT1G21580,GO:0043484,annotated_with,
AT1G21580,GO:0060149,annotated_with,
AT1G21580,GO:0005634,located_in,
AT1G21580,GO:0016607,located_in,
AT1G35180,GO:0005575,located_in,
AT2G25250,SF_response_downregulated,has_response,0.283572535586913
AT2G25250,GO:0005634,located_in,
AT1G04100,GO:0006355,annotated_with,
AT1G04100,GO:0009733,annotated_with,
AT1G04100,ath04075,participates_in,
AT1G04100,GO:0005634,located_in,
AT2G02080,SF_response_upregulated,has_response,0.260298969014171
AT2G02080,GO:0008356,annotated_with,
AT2G02080,GO:0045893,annotated_with,
AT2G02080,GO:0048364,annotated_with,
AT2G02080,GO:0005634,located_in,
AT5G64580,GO:0006508,annotated_with,
AT5G64580,GO:0009793,annotated_with,
AT5G64580,GO:0045037,annotated_with,
AT5G64580,GO:0009507,located_in,
AT5G64580,GO:0009535,located_in,
AT5G64580,GO:0009536,located_in,
AT5G64580,GO:0009706,located_in,
AT5G64580,GO:0009941,located_in,
AT5G64580,GO:0062091,located_in,
AT1G45474,GO:0009409,annotated_with,
AT1G45474,GO:0009416,annotated_with,
AT1G45474,GO:0009644,annotated_with,
AT1G45474,GO:0009645,annotated_with,
AT1G45474,GO:0009768,annotated_with,
AT1G45474,ath00196,participates_in,
AT1G45474,ath01100,participates_in,
AT1G45474,GO:0009507,located_in,
AT1G45474,GO:0009535,located_in,
AT5G05100,GO:0009651,annotated_with,
AT5G05100,GO:0005634,located_in,
AT2G19640,GO:0005575,located_in,
AT2G19640,GO:0005634,located_in,
AT3G13850,GO:0005634,located_in,
AT2G09255,SF_response_downregulated,has_response,1.39759495591416
AT1G80830,GO:0006828,annotated_with,
AT1G80830,GO:0015691,annotated_with,
AT1G80830,GO:0015692,annotated_with,
AT1G80830,GO:0030001,annotated_with,
AT1G80830,GO:0030003,annotated_with,
AT1G80830,GO:0034755,annotated_with,
AT1G80830,GO:0071421,annotated_with,
AT1G80830,ath04142,participates_in,
AT1G80830,GO:0005886,located_in,
AT1G80830,GO:0009507,located_in,
AT1G30510,ath00195,participates_in,
AT1G30510,ath01100,participates_in,
AT1G30510,GO:0009507,located_in,
AT3G60550,GO:0005575,located_in,
AT3G54910,GO:0008150,annotated_with,
AT3G54910,GO:0005634,located_in,
AT2G19570,GO:0009972,annotated_with,
AT2G19570,ath00240,participates_in,
AT2G19570,ath01100,participates_in,
AT2G19570,ath01232,participates_in,
AT2G19570,GO:0005634,located_in,
AT2G19570,GO:0005739,located_in,
AT2G19570,GO:0005829,located_in,
AT2G33390,GO:0005634,located_in,
AT1G70900,GO:0005575,located_in,
AT2G04940,GO:0005739,located_in,
AT2G04940,GO:0005886,located_in,
AT2G31830,SF_response_upregulated,has_response,0.591275280029523
AT2G31830,GO:0016311,annotated_with,
AT2G31830,GO:0046856,annotated_with,
AT2G31830,GO:0005737,located_in,
AT3G20440,SF_response_upregulated,has_response,0.359844990545375
AT3G20440,GO:0005975,annotated_with,
AT3G20440,GO:0005978,annotated_with,
AT3G20440,GO:0009791,annotated_with,
AT3G20440,GO:0009793,annotated_with,
AT3G20440,GO:0019252,annotated_with,
AT3G20440,ath00500,participates_in,
AT3G20440,ath01100,participates_in,
AT3G20440,ath01110,participates_in,
AT3G20440,GO:0005737,located_in,
AT3G20440,GO:0009507,located_in,
AT3G20440,GO:0009536,located_in,
AT4G09100,SF_response_downregulated,has_response,0.308823235694969
AT4G09100,GO:0016567,annotated_with,
AT4G09100,GO:0005737,located_in,
AT3G24820,GO:0008150,annotated_with,
AT3G24820,GO:0005634,located_in,
AT1G47128,GO:0009414,annotated_with,
AT1G47128,GO:0016567,annotated_with,
AT1G47128,GO:0050832,annotated_with,
AT1G47128,GO:0051603,annotated_with,
AT1G47128,GO:0090333,annotated_with,
AT1G47128,GO:0000325,located_in,
AT1G47128,GO:0000932,located_in,
AT1G47128,GO:0005576,located_in,
AT1G47128,GO:0005615,located_in,
AT1G47128,GO:0005634,located_in,
AT1G47128,GO:0005737,located_in,
AT1G47128,GO:0005764,located_in,
AT1G47128,GO:0005773,located_in,
AT1G47128,GO:0005886,located_in,
AT1G47128,GO:0009506,located_in,
AT1G47128,GO:0010494,located_in,
AT1G47128,GO:0048046,located_in,
AT1G47128,GO:0099503,located_in,
AT5G54580,GO:0080156,annotated_with,
AT5G54580,GO:0005739,located_in,
AT3G17700,GO:0009624,annotated_with,
AT3G17700,ath04626,participates_in,
AT3G17700,GO:0005634,located_in,
AT1G04240,GO:0006355,annotated_with,
AT1G04240,GO:0009733,annotated_with,
AT1G04240,ath04075,participates_in,
AT1G04240,GO:0005634,located_in,
AT5G52850,GO:0009451,annotated_with,
AT5G52850,GO:0005739,located_in,
AT5G19090,GO:0005576,located_in,
AT5G19090,GO:0005634,located_in,
AT5G19090,GO:0009506,located_in,
AT3G20810,SF_response_upregulated,has_response,0.543868572578889
AT3G20810,GO:0007623,annotated_with,
AT3G20810,GO:0009266,annotated_with,
AT3G20810,GO:0009737,annotated_with,
AT3G20810,GO:0009741,annotated_with,
AT3G20810,GO:0009787,annotated_with,
AT3G20810,GO:0010468,annotated_with,
AT3G20810,GO:0040029,annotated_with,
AT3G20810,GO:0042752,annotated_with,
AT3G20810,GO:0045814,annotated_with,
AT3G20810,GO:0080022,annotated_with,
AT3G20810,GO:1900140,annotated_with,
AT3G20810,GO:1900457,annotated_with,
AT3G20810,GO:1990110,annotated_with,
AT3G20810,GO:2000028,annotated_with,
AT3G20810,GO:0000791,located_in,
AT3G20810,GO:0005634,located_in,
AT3G20810,GO:0005737,located_in,
AT3G20810,GO:0005783,located_in,
AT3G20810,Trait_clim_tmin3,associated_with_trait,
AT3G20810,Trait_clim_tmax1,associated_with_trait,
AT1G20140,GO:0006511,annotated_with,
AT1G20140,GO:0016567,annotated_with,
AT1G20140,GO:0031146,annotated_with,
AT1G20140,ath03083,participates_in,
AT1G20140,ath04120,participates_in,
AT1G20140,ath04141,participates_in,
AT1G20140,GO:0005634,located_in,
AT1G20140,GO:0005730,located_in,
AT1G20140,GO:0005737,located_in,
AT1G20140,GO:0019005,located_in,
AT1G17720,GO:0006470,annotated_with,
AT1G17720,ath03015,participates_in,
AT1G17720,ath04382,participates_in,
AT1G17720,GO:0000159,located_in,
AT1G17720,GO:0005634,located_in,
AT1G17720,GO:0005737,located_in,
AT1G17720,GO:0005829,located_in,
AT5G65158,GO:0005634,located_in,
AT2G40810,GO:0000422,annotated_with,
AT2G40810,GO:0034497,annotated_with,
AT2G40810,GO:0061723,annotated_with,
AT2G40810,GO:0005829,located_in,
AT2G40810,GO:0009507,located_in,
AT2G40810,GO:0034045,located_in,
AT1G70170,SF_response_downregulated,has_response,0.49488668062139
AT1G70170,GO:0009651,annotated_with,
AT1G70170,GO:0009753,annotated_with,
AT1G70170,GO:0030198,annotated_with,
