node_id,id,label,type,tair_id,symbol,mean_log2fc,fisher_pval,fisher_fdr,n_studies,consensus,direction,color,size,ontology,go_id,term,pathway_id,full_name,trait_name,n_genes,ecotype_name,n_deg
AT2G33700,AT2G33700,PP2CG1,Gene,AT2G33700,PP2CG1,-0.0116850897064187,4.26127856085282e-63,7.2205229705133004e-62,18.0,False,downregulated,#0279EE,29,,,,,,,,,
AT1G63150,AT1G63150,AT1G63150,Gene,AT1G63150,,0.0866221889104038,0.0002888114053156,0.0008632573570194,18.0,False,upregulated,#0279EE,21,,,,,,,,,
AT5G59610,AT5G59610,DJC73,Gene,AT5G59610,DJC73,-0.023741905833483,6.63255948928768e-07,2.39802486975632e-06,18.0,False,downregulated,#0279EE,23,,,,,,,,,
AT5G01400,AT5G01400,ESP4,Gene,AT5G01400,ESP4,0.110345905973113,2.0343922471448698e-11,9.252277604194349e-11,18.0,False,upregulated,#0279EE,25,,,,,,,,,
AT5G67080,AT5G67080,MKK19,Gene,AT5G67080,MKK19,0.41005531049729,4.10138335152912e-06,1.40998805940063e-05,18.0,False,upregulated,#0279EE,19,,,,,,,,,
AT1G42560,AT1G42560,MLO9,Gene,AT1G42560,MLO9,-0.464317118304487,0.0001852560172223,0.0005628386436724,15.0,False,downregulated,#0279EE,25,,,,,,,,,
AT3G10910,AT3G10910,OAF,Gene,AT3G10910,OAF,-0.149746815100973,4.398361879801189e-40,4.63982479519434e-39,18.0,False,downregulated,#0279EE,21,,,,,,,,,
AT1G30840,AT1G30840,PUP4,Gene,AT1G30840,PUP4,-0.0624177555610677,1.402351022079e-54,1.99138731575134e-53,18.0,False,downregulated,#0279EE,19,,,,,,,,,
AT1G77885,AT1G77885,AT1G77885,Gene,AT1G77885,,-0.289081979305021,2.73212679001929e-11,1.23616173418875e-10,18.0,False,downregulated,#0279EE,17,,,,,,,,,
AT1G06090,AT1G06090,ADS1.2,Gene,AT1G06090,ADS1.2,0.180244287753082,6.97437721174222e-07,2.51897809092994e-06,18.0,False,upregulated,#0279EE,23,,,,,,,,,
AT1G65481,AT1G65481,AT1G65481,Gene,AT1G65481,,-0.50946903048265,8.961543885370521e-09,3.5960498623366e-08,17.0,False,downregulated,#0279EE,21,,,,,,,,,
AT4G16310,AT4G16310,LDL3,Gene,AT4G16310,LDL3,0.0387534786613298,0.0002383705615065,0.0007178641355895,18.0,False,upregulated,#0279EE,17,,,,,,,,,
AT3G26240,AT3G26240,AT3G26240,Gene,AT3G26240,,0.0608314605928516,5.88679360780011e-29,4.75459811762268e-28,18.0,False,upregulated,#0279EE,17,,,,,,,,,
AT5G66900,AT5G66900,NRG1A,Gene,AT5G66900,NRG1A,-0.0143703298149305,4.5425984162207e-05,0.0001453457865731,18.0,False,downregulated,#0279EE,23,,,,,,,,,
AT4G38260,AT4G38260,AT4G38260,Gene,AT4G38260,,-0.136504230985223,7.61805323072932e-105,2.67151743735191e-103,18.0,False,downregulated,#0279EE,19,,,,,,,,,
AT5G22355,AT5G22355,AT5G22355,Gene,AT5G22355,,0.138487103937873,5.22576567164148e-27,4.0032836033042697e-26,18.0,False,upregulated,#0279EE,17,,,,,,,,,
AT3G60050,AT3G60050,AT3G60050,Gene,AT3G60050,,0.114059239212212,4.45943306359106e-10,1.89961453901378e-09,18.0,True,upregulated,#0279EE,23,,,,,,,,,
AT3G18250,AT3G18250,AT3G18250,Gene,AT3G18250,,-0.125123529925246,6.86416490196262e-32,5.969454131648151e-31,17.0,False,downregulated,#0279EE,17,,,,,,,,,
2984,2984,2984,Gene,2984,,0.519196820521752,0.0014636241053921,0.0040766102121903,4.0,False,upregulated,#0279EE,15,,,,,,,,,
