ion_trait,n_gwas_genes,n_de_overlap,expected_overlap,fold_enrichment,odds_ratio,pvalue_fisher,pvalue_fdr,significant_fdr
Co59,8,7,3.47891156462585,2.012123582323035,9.099452316786925,0.01456876708500756,0.02137780184279794,True
As75,6,4,2.6091836734693876,1.5330465389127885,2.59941761919249,0.23080316663129763,0.2538834832944274,False
Mo98,8,8,3.47891156462585,2.2995698083691827,inf,0.0012779932112074335,0.007028962661640884,True
At2,8,3,3.47891156462585,0.8623386781384436,0.7797131681877445,0.7530666334169691,0.7530666334169691,False
M216T665,5,5,2.1743197278911564,2.2995698083691827,inf,0.015547492249307595,0.02137780184279794,True
M130T666,5,5,2.1743197278911564,2.2995698083691827,inf,0.015547492249307595,0.02137780184279794,True
M172T666,5,5,2.1743197278911564,2.2995698083691827,inf,0.015547492249307595,0.02137780184279794,True
S34,11,9,4.783503401360544,1.881466206847513,5.849960876369327,0.011370595180656987,0.02137780184279794,True
Zn66,5,5,2.1743197278911564,2.2995698083691827,inf,0.015547492249307595,0.02137780184279794,True
Se82,13,9,5.653231292517007,1.592009867332511,2.9247848200312987,0.05599796998455213,0.0684419633144526,False
ALL_ION_CONTENT,62,49,26.96156462585034,1.8174019453240315,4.906696769525545,1.157043557853376e-08,1.2727479136387137e-07,True
