study,ecotype,tissue,data_type,n_genes,n_sig,n_sig_up,n_sig_down
OSD-120,Col-0,mixed,RNA-seq,23737,345,122,223
OSD-120,Ws,mixed,RNA-seq,22333,131,83,48
OSD-121,Ler-0,Shoot,microarray,22810,1351,938,413
OSD-147,Col-0,Hypocotyl,microarray,22810,6,2,4
OSD-193,Col-0,mixed,RNA-seq,24833,2952,1318,1634
OSD-205,Col-0,Hypocotyl,microarray,22810,0,0,0
OSD-218,Col-0,mixed,RNA-seq,23788,2198,946,1252
OSD-218,Ws,mixed,RNA-seq,23824,1232,586,646
OSD-281,Ws,mixed,RNA-seq,25028,3641,1773,1868
OSD-321,bzip28,mixed,RNA-seq,25266,17124,8898,8226
OSD-321,Wild.Type,mixed,RNA-seq,24976,16295,8399,7896
OSD-37,Col-0,mixed,RNA-seq,26564,2728,1711,1017
OSD-37,Cvi-0,mixed,RNA-seq,24471,6957,3698,3259
OSD-37,Ler-0,mixed,RNA-seq,26075,2659,1075,1584
OSD-37,Ws-2,mixed,RNA-seq,24721,3255,1835,1420
OSD-427,Wild.Type,mixed,RNA-seq,25539,849,452,397
OSD-427,elp2,mixed,RNA-seq,25720,272,109,163
OSD-427,met1,mixed,RNA-seq,25737,382,168,214
OSD-522,all,mixed,RNA-seq,22504,1991,997,994
OSD-678,Col-0,mixed,RNA-seq,24581,6879,3960,2919
OSD-678,Ws,mixed,RNA-seq,23610,3290,1690,1600
OSD-7,all,mixed,microarray,22810,6,6,0
