accession_id,name,country,group,latitude,longitude,elevation_m,predicted_response_score,expanded_prs_763genes,genome_wide_prs
9509,IP-Reg-0,POR,spain,39.29,-7.4,605.0,0.6409864025080304,0.6000288623807167,0.6205076324443736
9510,IP-Rei-0,POR,spain,38.75,-7.59,424.0,0.6409864025080304,0.610635461297625,0.6258109319028278
9511,IP-Vav-0,POR,spain,38.53,-8.02,220.0,0.6409864025080304,0.5686917310890791,0.6048390667985548
9402,Hel-3,SWE,south_sweden,57.8765,14.8549,193.0,0.6409864025080304,0.6564824618965351,0.6487344322022828
9404,HolA-1 1,SWE,south_sweden,55.7491,13.399,21.0,0.6409864025080304,0.5891139379672873,0.6150501702376588
9405,HolA-1 2,SWE,south_sweden,55.7491,13.399,21.0,0.6409864025080304,0.5885191463461772,0.6147527744271037
9407,HolA-2 2,SWE,south_sweden,55.7491,13.399,21.0,0.6409864025080304,0.6070103012249912,0.6239983518665109
9408,Kal 1,SWE,south_sweden,56.047,13.9519,98.0,0.6409864025080304,0.5993696794601319,0.6201780409840811
9416,Kru-3,SWE,south_sweden,57.7215,18.3837,0.0,0.6409864025080304,0.5899814232364043,0.6154839128722174
9433,Nyl 13,SWE,north_sweden,62.9513,18.2763,37.0,0.6409864025080304,0.554320868844671,0.5976536356763507
9436,Puk-1,SWE,south_sweden,56.1633,14.6806,9.0,0.6409864025080304,0.5989671532221102,0.6199767778650703
9437,Puk-2,SWE,south_sweden,56.1633,14.6806,9.0,0.6409864025080304,0.6412838374022813,0.6411351199551558
9442,Sim-1,SWE,germany,55.5678,14.3398,4.0,0.6409864025080304,0.6257812038926798,0.6333838032003551
9352,Död 2,SWE,south_sweden,57.2608,16.3675,38.0,0.6409864025080304,0.6315212013072123,0.6362538019076214
9522,IP-Bea-0,ESP,spain,36.52,-5.27,135.0,0.6409864025080304,0.5891299322150948,0.6150581673615626
9523,IP-Ben-0,ESP,admixed,38.37,-2.66,709.0,0.6409864025080304,0.572928257900273,0.6069573302041518
9524,IP-Ber-0,ESP,spain,42.52,-0.56,1112.0,0.6409864025080304,0.594692794905041,0.6178395987065357
9525,IP-Bis-0,ESP,spain,42.49,0.54,1468.0,0.6409864025080304,0.6001681498766912,0.6205772761923608
9526,IP-Cab-3,ESP,spain,41.54,2.39,256.0,0.6409864025080304,0.6322721480621588,0.6366292752850946
9527,IP-Cad-0,ESP,admixed,40.37,-5.74,1094.0,0.6409864025080304,0.5498424636165858,0.5954144330623081
9528,IP-Cal-0,ESP,spain,40.94,-1.37,1106.0,0.6409864025080304,0.6459329120918489,0.6434596572999396
9451,Spro 2,SWE,south_sweden,57.2545,18.2109,16.0,0.6409864025080304,0.5789916655506607,0.6099890340293456
9452,Spro 3,SWE,south_sweden,57.2545,18.2109,16.0,0.6409864025080304,0.5709254704096078,0.6059559364588192
9454,Stenk-3,SWE,south_sweden,57.8009,18.5162,50.0,0.6409864025080304,0.5528223712502254,0.596904386879128
9470,Tur-4,SWE,south_sweden,57.6511,14.8043,274.0,0.6409864025080304,0.5336896023520573,0.5873380024300439
9471,Ull-A-1,SWE,south_sweden,56.0648,13.9707,28.0,0.6409864025080304,0.6096167200268878,0.6253015612674591
9476,VårA 1,SWE,germany,55.5796,14.3336,5.0,0.6409864025080304,0.5876063415236825,0.6142963720158565
9481,Yst-1,SWE,south_sweden,55.4242,13.8484,5.0,0.6409864025080304,0.5468633755157988,0.5939248890119146
9503,11C1,UK,western_europe,55.8877,-3.21072,227.0,0.6409864025080304,0.546246339346122,0.5936163709270762
9506,IP-Alo-0,POR,admixed,40.11,-7.47,890.0,0.6409864025080304,0.5908028615293266,0.6158946320186784
9539,IP-Deh-1,ESP,spain,40.29,-6.67,861.0,0.6409864025080304,0.6507670482667122,0.6458767253873713
9540,IP-Elb-0,ESP,spain,41.81,2.34,1087.0,0.6409864025080304,0.5913886619671223,0.6161875322375763
9541,IP-Fue-2,ESP,spain,38.26,-5.42,593.0,0.6409864025080304,0.5576321139144873,0.5993092582112589
9542,IP-Fun-0,ESP,relict,40.79,-4.05,1938.0,0.6409864025080304,0.5928241105854521,0.6169052565467412
9543,IP-Gra-0,ESP,relict,36.77,-5.39,1167.0,0.6409864025080304,0.5960346954156003,0.6185105489618153
9544,IP-Gua-1,ESP,spain,39.4,-5.33,638.0,0.6409864025080304,0.5206798032197832,0.5808331028639069
9545,IP-Her-12,ESP,relict,39.4,-5.78,573.0,0.6409864025080304,0.599957556512496,0.6204719795102632
9512,IP-Vid-1,POR,spain,38.22,-7.84,246.0,0.6409864025080304,0.59583836660177,0.6184123845549002
9513,IP-Adc-5,ESP,admixed,38.77,-4.07,691.0,0.6409864025080304,0.623102593452433,0.6320444979802318
9514,IP-Adm-0,ESP,spain,39.15,-4.54,626.0,0.6409864025080304,0.6573050853563908,0.6491457439322106
9515,IP-Ala-0,ESP,spain,39.72,-6.89,212.0,0.6409864025080304,0.6350633533944632,0.6380248779512467
9517,IP-All-0,ESP,western_europe,42.19,-7.8,470.0,0.6409864025080304,0.5907297417913855,0.615858072149708
9518,IP-Alm-0,ESP,spain,39.88,-0.36,839.0,0.6409864025080304,0.5679106252457803,0.6044485138769053
9519,IP-Ang-0,ESP,spain,41.94,2.64,231.0,0.6409864025080304,0.6762471966055262,0.6586167995567783
9520,IP-Ara-4,ESP,spain,41.7,-3.68,874.0,0.6409864025080304,0.6010629555284651,0.6210246790182478
9521,IP-Bar-1,ESP,spain,41.43,2.13,339.0,0.6409864025080304,0.5999742812654189,0.6204803418867246
9554,IP-Lso-0,ESP,relict,38.86,-3.16,745.0,0.6409864025080304,0.6014026498947304,0.6211945262013804
9555,IP-Mar-1,ESP,relict,39.58,-3.93,1007.0,0.6409864025080304,0.6073489453310661,0.6241676739195483
9556,IP-Men-2,ESP,spain,39.66,-4.34,714.0,0.6409864025080304,0.5969955901503121,0.6189909963291713
9557,IP-Moa-0,ESP,spain,42.46,0.7,1143.0,0.6409864025080304,0.5813165423016232,0.6111514724048268
