functional_category,n_traits,total_gwas_genes,total_overlap_deg,mean_fold_enrichment,median_fold_enrichment,median_odds_ratio,median_pvalue,median_fdr,min_fdr,median_odds_ratio_display
Climate: BIOCLIM,13,108,90,2.0138,2.0246,8.1743,0.0181,0.0502,0.03,8.2
Root: Lateral Root,12,117,101,2.0694,2.0963,10.9001,0.0056,0.0313,0.0159,10.9
Climate: Min Temperature,9,89,76,2.0198,1.9684,6.8129,0.0046,0.0296,0.0145,6.8
Climate: Max Temperature,9,94,80,2.0059,1.9987,7.4945,0.0058,0.03,0.0145,7.5
Climate: Potential ET,7,54,49,2.1707,2.1473,13.6263,0.0058,0.03,0.0189,13.6
Climate: Evapotranspiration,5,51,45,2.1065,2.2046,19.0802,0.0136,0.041,0.0045,19.1
Climate: Other,4,24,21,2.0809,1.9965,7.493,0.0392,0.08,0.041,7.5
Growth & Development,3,23,19,2.034,1.9684,6.8116,0.0231,0.0627,0.041,6.8
Other,3,21,18,2.0199,2.0246,8.1743,0.0257,0.0627,0.041,8.2
Flowering Time,3,17,15,2.0996,1.9684,6.8116,0.0528,0.0974,0.041,6.8
Fitness & Survival,2,18,14,1.8712,1.8712,5.9037,0.0338,0.0771,0.0627,5.9
Climate: Life Cycle,2,22,18,1.9987,1.9987,inf,0.0237,0.0559,0.0145,inf
Root: Hormone Response,2,22,17,1.877,1.877,6.4717,0.0197,0.053,0.041,6.5
Climate: Precipitation,2,13,13,2.3621,2.3621,inf,0.0041,0.0252,0.0204,inf
Climate: Growing Season,1,8,8,2.3621,2.3621,inf,0.001,0.0189,0.0189,inf
Ion: Cobalt,1,8,7,2.0668,2.0668,9.5371,0.0123,0.041,0.041,9.5
Ion: Molybdenum,1,8,8,2.3621,2.3621,inf,0.001,0.0189,0.0189,inf
Ion: Mass 130,1,5,5,2.3621,2.3621,inf,0.0136,0.041,0.041,inf
Ion: Mass 172,1,5,5,2.3621,2.3621,inf,0.0136,0.041,0.041,inf
Ion: Mass 216,1,5,5,2.3621,2.3621,inf,0.0136,0.041,0.041,inf
Ion: Zinc,1,5,5,2.3621,2.3621,inf,0.0136,0.041,0.041,inf
Ion: Sulfur,1,11,10,2.1473,2.1473,13.6263,0.0013,0.0189,0.0189,13.6
Ion: Selenium,1,13,9,1.6353,1.6353,3.0655,0.047,0.0974,0.0974,3.1
Leaf Traits,1,6,5,1.9684,1.9684,6.8116,0.0528,0.0974,0.0974,6.8
Root: Growth Rate,1,9,7,1.8372,1.8372,4.7684,0.035,0.0795,0.0795,4.8
Multivariate PC,1,11,10,2.1473,2.1473,13.6263,0.0013,0.0189,0.0189,13.6
Root: Straightness,1,10,9,2.1259,2.1259,12.2631,0.0027,0.0204,0.0204,12.3
Stomatal Traits,1,12,10,1.9684,1.9684,6.8129,0.0046,0.0296,0.0296,6.8
