gene_id,gene_name,mean_log2FC,median_log2FC,min_padj,n_studies,n_ecotypes,n_entries
AT3G14420,SHM2,1.8793168006734149,1.80955450730143,9.76164391242875e-72,2,4,4
AT3G61250,GDCST,1.1769553705067708,1.189094064822305,2.75231740414854e-06,3,4,4
AT2G45410,GGT2,1.08539256344645,1.08539256344645,0.048575040508664,1,1,1
AT5G04140,AT5G04140,1.0764578922368733,2.1318835296753997,4.44409521293346e-105,3,6,6
AT1G68010,AT1G68010,1.0745358314519917,1.11411213523017,1.03616987372349e-12,1,3,3
AT2G35370,GLO2,1.041539522526722,1.50697498929612,1.6839120689402e-38,3,5,5
AT1G32470,GDCS,0.9903299722571441,1.45728755524763,7.15404277691893e-53,4,6,6
AT5G60335,AT5G60335,0.8891057335285535,0.8891057335285535,6.85288929917782e-05,1,2,2
AT1G23310,GDCP,0.7943722230012565,0.6305727577535074,1.96888389084138e-24,2,4,4
AT1G12550,AT1G12550,0.6943220990668155,0.6943220990668155,3.38837796727386e-05,1,2,2
AT5G09660,AT5G09660,0.5506701907054428,0.447273006814356,1.21071554609708e-21,3,5,5
AT4G18370,PGLP1,0.5279784581355498,0.937871692763631,2.26918298801895e-59,3,7,7
AT1G20630,GOX1,0.4975564109702702,0.46434908153292853,2.26159791925503e-11,3,3,4
AT4G16660,GGAT1,0.459356124900756,0.498260841735651,1.1712702126383e-24,2,3,3
AT1G04630,AT1G04630,0.4339495705168203,0.428950555420236,4.03746214418202e-10,2,3,3
AT3G04340,AT3G04340,0.4086470423510249,0.620913563754655,6.1300139513017e-21,5,7,9
AT1G32060,GLU1,0.40855912926854837,0.688577398160483,9.362727356952069e-28,3,5,5
AT5G47435,AT5G47435,0.3744271149393817,0.45995321907178,2.0942760770217e-23,2,3,3
AT1G47260,AT1G47260,0.3682242981601717,0.3876934961008,1.76492696091619e-22,2,3,3
AT5G52840,AT5G52840,0.3171111595297697,0.494265698049883,4.55741844637035e-38,2,3,3
AT4G34700,AT4G34700,0.24183979450877766,0.414083293418323,2.9611212409387702e-21,2,2,3
AT4G00585,AT4G00585,0.22241569718312548,0.22241569718312548,0.0004058920674096,1,2,2
AT5G66510,AT5G66510,0.19233461796520024,0.32155799258746154,1.15506405972822e-18,3,4,4
AT2G27730,AT2G27730,0.188934881485199,0.1569361462678645,0.0002356169382934,3,4,4
AT3G10160,AT3G10160,0.15019898328891024,0.344105973345827,1.0155696225235e-15,3,4,4
AT3G18410,AT3G18410,0.12645221960194833,0.273732789744333,1.47930915694226e-05,2,2,3
AT3G54110,AT3G54110,0.109396560446251,0.109396560446251,0.0108000519803749,1,1,1
AT5G37510,AT5G37510,0.10478285942753525,0.0643945028055585,4.33624721560571e-07,2,4,4
AT2G35010,AT2G35010,0.09769083424229101,0.227590696156553,0.0002761860335335,2,2,3
AT1G67350,AT1G67350,0.0867703427636046,0.270333343763303,4.8258049854282e-06,4,4,5
AT4G36400,AT4G36400,0.04428963038887268,-0.284196615153391,3.92445178021549e-08,2,3,3
AT3G14415,SHM1,-0.037972621746681756,0.28995815383629897,3.67508001031067e-16,3,4,4
AT2G31490,AT2G31490,-0.07540038286440126,-0.013352923379429005,1.73088383311822e-05,3,3,4
AT1G19580,AT1G19580,-0.08928184510012827,-0.1661513296344585,0.0032536518126246,4,3,4
AT2G26350,AT2G26350,-0.09384374425627934,-0.256143796930605,3.9560459167058e-07,2,3,3
AT3G48680,AT3G48680,-0.10729549381456138,-0.665497189059882,3.0176582058985903e-93,2,3,3
AT2G22780,AT2G22780,-0.12319934057182798,-0.477052426667855,1.27500811886009e-69,2,3,3
AT1G70550,GLYK,-0.12413597963219275,-0.10511114627610549,2.52309351423328e-06,2,4,4
AT4G37930,GDCSH,-0.12500200013683585,-0.40135020438735947,1.39075030539816e-89,6,6,10
AT5G38420,GLYDH,-0.20174914636883717,0.44496692024964146,1.11883117710011e-99,5,7,8
AT5G26820,GDKT,-0.22679937035640213,-0.187068694755653,5.4667388206752e-05,4,6,7
AT2G02050,AT2G02050,-0.2920429232021745,-0.2920429232021745,0.0003290175857301,2,1,2
AT1G79870,AT1G79870,-0.29270167666077235,-0.185167890842093,0.0001661276965703,2,3,3
AT2G47690,AT2G47690,-0.2998415216199495,-0.2998415216199495,0.0009319142104298,2,1,2
AT4G16450,AT4G16450,-0.3104956034454035,-0.3104956034454035,0.0114867323495443,2,2,2
AT2G44350,GLO1,-0.3536199122741465,-0.33287001055730203,2.3275441340383703e-15,3,3,4
AT2G33220,AT2G33220,-0.354504105246567,-0.354504105246567,0.0064113424411102,1,1,1
AT1G80380,GGT1,-0.38825242969354334,-0.586752673993833,2.70972006704243e-96,4,5,5
AT1G70580,AT1G70580,-0.6162021506339235,-0.6162021506339235,0.0003635213679282,2,2,2
AT4G22840,AT4G22840,-0.6434198999964602,-0.6586121572609365,1.36631143710026e-17,2,4,4
AT4G17360,AT4G17360,-0.8752808129153363,-1.56452491604097,5.15912594133837e-12,2,3,3
AT2G13360,AT2G13360,-1.293996686287177,-2.17445439527047,8.78244915400543e-222,2,3,3
AT2G26080,GDCPA2,-1.34762177850647,-1.34762177850647,8.73531111701837e-12,1,1,1
