feature,importance
direction_concordance,0.1876447827458038
fisher_pval,0.1488963458520051
meta_log2fc,0.1037670450596666
fisher_stat,0.10252227972383833
median_log2fc,0.08260451243283659
meta_I2,0.04614759509593317
mean_log2fc,0.04111250303279372
n_sig,0.04082212950435195
meta_het_pval,0.039395500233230164
meta_tau2,0.036052025968136815
n_down,0.032905264451887725
n_studies,0.029073698863810667
meta_se,0.028619888948343608
n_up,0.02663787005706822
n_go_terms,0.014729941335587688
sd_log2fc,0.014082276362006992
n_go_CC,0.012077392135152331
n_go_MF,0.008152137580044126
n_go_BP,0.002450622666367109
has_symbol,0.00137203045741514
n_pathways,0.0007307095188076746
n_gwas_associations,0.0001500902539511408
is_gwas_gene,5.335772096146001e-05
