gene_id,fisher_stat,fisher_pval,n_studies,mean_log2fc,median_log2fc,sd_log2fc,n_up,n_down,n_sig,direction_concordance,fisher_fdr,meta_log2fc,meta_se,meta_z,meta_pval,meta_ci_lb,meta_ci_ub,meta_I2,meta_tau2,meta_n,meta_het_pval,meta_fdr,consensus_class,direction
AT1G67030,1799.52633817914,0,18,-0.43033170798911,-0.713128842879024,0.923654962617778,1,9,10,0.777777777777778,0,-0.678791412861955,0.166331166500285,-4.08096346069208,4.4849405924783e-05,-1.00479450870905,-0.35278831701486,95.5658102232057,0.343580384434448,18,4.91136563804647e-27,0.00252382492082586,consensus_significant,downregulated
AT3G52800,1655.97659492798,0,18,-0.440002108257121,-0.400718689412286,0.347125426562747,0,8,8,0.888888888888889,0,-0.45141714217234,0.083845619987422,-5.38390845270223,7.28855838237251e-08,-0.615751537609119,-0.287082746735561,91.522614581997,0.0954876419166438,18,1.90108876779985e-52,1.51871310486352e-05,consensus_significant,downregulated
AT5G56980,1608.39491362972,1.11253712415573e-308,18,-0.464137805154262,-0.307498684531427,0.62678871691114,0,7,7,0.722222222222222,1.11266497501866e-308,-0.515782643099154,0.156691701879001,-3.29170362510612,0.000995824962366527,-0.822892735458283,-0.208672550740026,94.5823992731801,0.376726513473779,18,7.27177664391696e-65,0.0254265303985008,consensus_significant,downregulated
AT4G34770,1470.24096358352,4.25647702101637e-289,16,1.3394593667227,0.715744725708771,1.56453077135222,6,0,6,0.8125,1.97245905239081e-286,1.38930348843183,0.418778767779847,3.31751176354335,0.000908230910275105,0.568512186093267,2.21009479077039,96.644059467392,2.52247304420313,16,5.29030485805103e-169,0.023859570910741,consensus_significant,upregulated
AT2G32880,1192.76263294504,8.56179904512598e-237,12,1.3377729661694,1.0112925556531,1.55744308377054,6,0,6,0.833333333333333,2.0862250339957e-234,1.5349702364344,0.49481845027155,3.10208771639787,0.00192161009754421,0.565143895016243,2.50479657785256,96.2003336287512,2.36876395014641,12,1.42011705644623e-62,0.0397214415541767,consensus_significant,upregulated
AT5G61010,1176.46184687031,1.19815893034354e-223,18,-0.46915336716524,-0.251899512063921,0.666892104582959,0,6,6,0.777777777777778,2.45793069738182e-221,-0.496103947634991,0.165338651428997,-3.00053220071194,0.0026950825615175,-0.820161749688247,-0.172046145581736,93.8186986398643,0.43139554024983,18,2.42097213878588e-88,0.0495154616224411,consensus_significant,downregulated
AT1G23090,1158.67273882351,1.97617720497989e-221,17,0.235658669313626,0.219503975739208,0.937628713551398,4,0,4,0.764705882352941,3.89983167740156e-219,0.494512231256407,0.162917349369458,3.03535647474211,0.00240251540745729,0.17520009403554,0.813824368477274,93.2864513237273,0.343475318413627,17,8.65526493485288e-70,0.0460280127805976,consensus_significant,upregulated
AT3G48550,1118.62486665425,1.84558472697992e-211,18,0.620592165851443,0.315683008112171,0.856467792183758,5,0,5,0.777777777777778,3.22517484562238e-209,0.604982493908826,0.199187970678446,3.0372441259792,0.00238752007903367,0.214581245225452,0.9953837425922,93.4593942542299,0.612217666176549,18,1.06498139086602e-82,0.0458453337455896,consensus_significant,upregulated
AT5G13980,1114.69083825338,1.2428955345043e-210,18,0.192413008937718,0.138499207744437,0.243796887934223,3,0,3,0.777777777777778,2.15744217847183e-208,0.209756762237967,0.0625235407340511,3.3548445877399,0.000794095833779738,0.0872128742133037,0.33230065026263,89.9267292738966,0.055528558623044,18,4.32977330318195e-49,0.0217075175130811,consensus_significant,upregulated
AT3G49110,1098.67553931345,9.02116211188917e-209,17,1.39021919122708,1.25686892338859,1.52038658594477,5,0,5,0.882352941176471,1.52015368431545e-206,1.5121707379615,0.409425312694604,3.69339826111204,0.00022127706223884,0.70971187072103,2.31462960520198,89.8365065184495,2.24607446243191,17,2.00367045879377e-47,0.00853599017671664,consensus_significant,upregulated
