sample_size_n,effect_size_r,approx_power,note
4,0.2,0.05,Current ecotype transcriptomics subset (n=4)
4,0.5,0.05,Current ecotype transcriptomics subset (n=4)
4,0.8,0.06844326660746503,Current ecotype transcriptomics subset (n=4)
10,0.2,0.061065614745592356,
10,0.5,0.2599520583676673,
10,0.8,0.9094887597535606,
25,0.2,0.14356288032225417,
25,0.5,0.7545926460560837,
25,0.8,0.9998750129693377,
50,0.2,0.276848227036408,
50,0.5,0.973812163091517,
50,0.8,0.9999999983486147,
100,0.2,0.5144249978113219,
100,0.5,0.9998401177272319,
100,0.8,1.0,
500,0.2,0.9950674165801374,
500,0.5,1.0,
500,0.8,1.0,
982,0.2,0.9999947029922933,Full accessions dataset (n=982)
982,0.5,1.0,Full accessions dataset (n=982)
982,0.8,1.0,Full accessions dataset (n=982)
