trait,n_gwas_genes,n_overlap,expected,fold_enrichment,odds_ratio,pvalue,fdr
clim-bio12,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
clim-gs4,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
Leaf roll 16,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
4W,8,6,3.386871244472998,1.771546529792457,4.087012813072012,0.0658692688061573,0.11272472806002176
8W GH FT,8,6,3.386871244472998,1.771546529792457,4.087012813072012,0.0658692688061573,0.11272472806002176
clim-pet11,8,6,3.386871244472998,1.771546529792457,4.087012813072012,0.0658692688061573,0.11272472806002176
clim-bio7,8,6,3.386871244472998,1.771546529792457,4.087012813072012,0.0658692688061573,0.11272472806002176
Straight75,8,6,3.386871244472998,1.771546529792457,4.087012813072012,0.0658692688061573,0.11272472806002176
DTFplantingSummer2008,8,6,3.386871244472998,1.771546529792457,4.087012813072012,0.0658692688061573,0.11272472806002176
clim-tmax9,8,6,3.386871244472998,1.771546529792457,4.087012813072012,0.0658692688061573,0.11272472806002176
clim-gs9,10,7,4.233589055591247,1.6534434278062933,3.178825490371164,0.07421330964707289,0.11845585962898172
DTF sweden 2008 (2nd experiment),10,7,4.233589055591247,1.6534434278062933,3.178825490371164,0.07421330964707289,0.11845585962898172
DTFplantingSummerLocSweden2009,10,7,4.233589055591247,1.6534434278062933,3.178825490371164,0.07421330964707289,0.11845585962898172
Mean(R) ABA,10,7,4.233589055591247,1.6534434278062933,3.178825490371164,0.07421330964707289,0.11845585962898172
clim-tmax2,10,7,4.233589055591247,1.6534434278062933,3.178825490371164,0.07421330964707289,0.11845585962898172
clim-tmax6,10,7,4.233589055591247,1.6534434278062933,3.178825490371164,0.07421330964707289,0.11845585962898172
RGE Fe norm,10,7,4.233589055591247,1.6534434278062933,3.178825490371164,0.07421330964707289,0.11845585962898172
FT GH,12,8,5.080306866709497,1.574708026482184,2.7247399205250704,0.07952059241829372,0.12453224850412037
Mean(TLRL) C,12,8,5.080306866709497,1.574708026482184,2.7247399205250704,0.07952059241829372,0.12453224850412037
GR105 cold,5,4,2.1167945277956237,1.8896496317786209,5.449042453461899,0.1062105385459326,0.15741919105915012
rSurvival fruit mlp,5,4,2.1167945277956237,1.8896496317786209,5.449042453461899,0.1062105385459326,0.15741919105915012
clim-prec10,5,4,2.1167945277956237,1.8896496317786209,5.449042453461899,0.1062105385459326,0.15741919105915012
clim-bio13,5,4,2.1167945277956237,1.8896496317786209,5.449042453461899,0.1062105385459326,0.15741919105915012
Mean(LRD R) IAA,5,4,2.1167945277956237,1.8896496317786209,5.449042453461899,0.1062105385459326,0.15741919105915012
0W GH LN,5,4,2.1167945277956237,1.8896496317786209,5.449042453461899,0.1062105385459326,0.15741919105915012
rFitness mli,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
clim-prec9,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
clim-prec11,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
RP GH,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
ScalingExponent,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
LRLpMRL1225,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
FT10,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
clim-aet4,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
Mean(LRR) ABA,7,5,2.963512338913873,1.6871871712309114,3.4056919642857144,0.12063044946449678,0.16549301331492947
clim-gs prec,9,6,3.810230150032123,1.574708026482184,2.724585919014242,0.12768783965681088,0.17232667791081793
clim-pet5,9,6,3.810230150032123,1.574708026482184,2.724585919014242,0.12768783965681088,0.17232667791081793
clim-aet3,11,7,4.656947961150372,1.503130388914812,2.384040985802304,0.1308061429215721,0.17479852254743744
clim-tmin6,13,8,5.503665772268621,1.4535766398297085,2.1797204982810197,0.13162539348451616,0.17479852254743744
clim-tmax1,12,7,5.080306866709497,1.377869523171911,1.9071702830609876,0.20260591362616176,0.25079784583490927
GR21 cold,10,6,4.233589055591247,1.4172372238339657,2.0433724719853563,0.20789963467141775,0.25079784583490927
8W GH LN,10,6,4.233589055591247,1.4172372238339657,2.0433724719853563,0.20789963467141775,0.25079784583490927
2W,10,6,4.233589055591247,1.4172372238339657,2.0433724719853563,0.20789963467141775,0.25079784583490927
LRDpBZ0,8,5,3.386871244472998,1.4762887748270475,2.2703869047619047,0.21189908389506273,0.25079784583490927
GR63 cold,8,5,3.386871244472998,1.4762887748270475,2.2703869047619047,0.21189908389506273,0.25079784583490927
DTF sweden 2009 (2nd experiment),8,5,3.386871244472998,1.4762887748270475,2.2703869047619047,0.21189908389506273,0.25079784583490927
Mean(LRD P) ABA,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
Seed bank 133-91,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
clim-tmin12,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
As75,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
Mean(TLRL) ABA,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
Mean(LRD P) CK,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
Mean(LRD P) IAA,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
clim-pet3,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
clim-pet1,6,4,2.5401534333547486,1.574708026482184,2.7244319450024554,0.21302708592001332,0.25079784583490927
DTF spain 2008 (2nd experiment),7,4,2.963512338913873,1.3497497369847293,1.8162284421826407,0.3362226011940355,0.3849169089531717
clim-gs tmin,7,4,2.963512338913873,1.3497497369847293,1.8162284421826407,0.3362226011940355,0.3849169089531717
FT22,7,4,2.963512338913873,1.3497497369847293,1.8162284421826407,0.3362226011940355,0.3849169089531717
LN16,7,4,2.963512338913873,1.3497497369847293,1.8162284421826407,0.3362226011940355,0.3849169089531717
LY ,5,3,2.1167945277956237,1.4172372238339657,2.043232747076154,0.35852779760290227,0.3941431417356409
FT16,5,3,2.1167945277956237,1.4172372238339657,2.043232747076154,0.35852779760290227,0.3941431417356409
clim-tmin10,5,3,2.1167945277956237,1.4172372238339657,2.043232747076154,0.35852779760290227,0.3941431417356409
PC3sc0,5,3,2.1167945277956237,1.4172372238339657,2.043232747076154,0.35852779760290227,0.3941431417356409
Germ 22,5,3,2.1167945277956237,1.4172372238339657,2.043232747076154,0.35852779760290227,0.3941431417356409
aLRL125,5,3,2.1167945277956237,1.4172372238339657,2.043232747076154,0.35852779760290227,0.3941431417356409
0W GH FT,8,4,3.386871244472998,1.181031019861638,1.3621266907727334,0.46054611849300836,0.5029648399331539
rSeeds tlp,6,3,2.5401534333547486,1.181031019861638,1.3621105258459065,0.5040285092857909,0.5397982744609116
CL,6,3,2.5401534333547486,1.181031019861638,1.3621105258459065,0.5040285092857909,0.5397982744609116
PC3sc125,6,3,2.5401534333547486,1.181031019861638,1.3621105258459065,0.5040285092857909,0.5397982744609116
LN10,7,3,2.963512338913873,1.012312302738547,1.021549415230783,0.6298829403546078,0.6617757474611703
LRLpMRL0,7,3,2.963512338913873,1.012312302738547,1.021549415230783,0.6298829403546078,0.6617757474611703
clim-prec7,7,3,2.963512338913873,1.012312302738547,1.021549415230783,0.6298829403546078,0.6617757474611703
Width 10,5,2,2.1167945277956237,0.9448248158893104,0.9080331503221295,0.7022077136910791,0.7240154066628518
LDV,5,2,2.1167945277956237,0.9448248158893104,0.9080331503221295,0.7022077136910791,0.7240154066628518
clim-aet11,5,2,2.1167945277956237,0.9448248158893104,0.9080331503221295,0.7022077136910791,0.7240154066628518
At2,8,3,3.386871244472998,0.8857732648962285,0.8172127488617088,0.7314850334715676,0.7404055826602453
PC2sc0,8,3,3.386871244472998,0.8857732648962285,0.8172127488617088,0.7314850334715676,0.7404055826602453
DTFlocSweden2008,8,3,3.386871244472998,0.8857732648962285,0.8172127488617088,0.7314850334715676,0.7404055826602453
RGR,6,2,2.5401534333547486,0.787354013241092,0.6810025443021024,0.8012973158937233,0.8061536632627762
DTF sweden 2008 (1st experiment),7,2,2.963512338913873,0.6748748684923647,0.5447841806900862,0.8698630661093696,0.8698630661093696
