trait,n_gwas_genes,n_overlap,expected,fold_enrichment,odds_ratio,pvalue,fdr
clim-aet12,12,12,5.080306866709497,2.362062039723276,inf,3.3095313732200755e-05,0.004465133168445011
clim-aet2,15,14,6.350383583386871,2.2045912370750576,19.08016613818052,5.3796785161988084e-05,0.004465133168445011
clim-gs tmax,13,12,5.503665772268621,2.180364959744563,16.35296744518376,0.00026215666829630685,0.014491519287418857
clim-cyclevsgs,9,9,3.810230150032123,2.362062039723276,inf,0.0004364915448017728,0.014491519287418857
clim-tmin11,9,9,3.810230150032123,2.362062039723276,inf,0.0004364915448017728,0.014491519287418857
LRDpBZ75,12,11,5.080306866709497,2.165223536413003,14.989550772528355,0.0005742954686838329,0.015888841300252712
clim-gs sum,8,8,3.386871244472998,2.362062039723276,inf,0.0010312324687074608,0.018868076342672468
Mo98,8,8,3.386871244472998,2.362062039723276,inf,0.0010312324687074608,0.018868076342672468
clim-pet4,11,10,4.656947961150372,2.14732912702116,13.626255860683187,0.0012502942154782961,0.018868076342672468
S34,11,10,4.656947961150372,2.14732912702116,13.626255860683187,0.0012502942154782961,0.018868076342672468
PC3sc75,11,10,4.656947961150372,2.14732912702116,13.626255860683187,0.0012502942154782961,0.018868076342672468
clim-tmax3,13,11,5.503665772268621,1.998667879765849,7.494529784763776,0.0022910588708152262,0.02038908210777659
clim-pet7,7,7,2.963512338913873,2.362062039723276,inf,0.002436274045970859,0.02038908210777659
clim-prec2,7,7,2.963512338913873,2.362062039723276,inf,0.002436274045970859,0.02038908210777659
LRDpBZ125,7,7,2.963512338913873,2.362062039723276,inf,0.002436274045970859,0.02038908210777659
Mean(LRD R) ABA,10,9,4.233589055591247,2.1258558357509485,12.263082693338097,0.0027021675082595483,0.02038908210777659
clim-tmax7,10,9,4.233589055591247,2.1258558357509485,12.263082693338097,0.0027021675082595483,0.02038908210777659
LRL125,10,9,4.233589055591247,2.1258558357509485,12.263082693338097,0.0027021675082595483,0.02038908210777659
clim-tmin9,10,9,4.233589055591247,2.1258558357509485,12.263082693338097,0.0027021675082595483,0.02038908210777659
clim-tmin3,10,9,4.233589055591247,2.1258558357509485,12.263082693338097,0.0027021675082595483,0.02038908210777659
Straight125,10,9,4.233589055591247,2.1258558357509485,12.263082693338097,0.0027021675082595483,0.02038908210777659
aLRL75,10,9,4.233589055591247,2.1258558357509485,12.263082693338097,0.0027021675082595483,0.02038908210777659
aLRLpMRL125,12,10,5.080306866709497,1.96838503310273,6.812904666220138,0.0046302879494506104,0.029562607677261588
Stomatasize 261,12,10,5.080306866709497,1.96838503310273,6.812904666220138,0.0046302879494506104,0.029562607677261588
clim-tmin4,12,10,5.080306866709497,1.96838503310273,6.812904666220138,0.0046302879494506104,0.029562607677261588
clim-tmin7,12,10,5.080306866709497,1.96838503310273,6.812904666220138,0.0046302879494506104,0.029562607677261588
clim-bio16,6,6,2.5401534333547486,2.362062039723276,inf,0.005755519327496494,0.03003126677350604
clim-pet10,6,6,2.5401534333547486,2.362062039723276,inf,0.005755519327496494,0.03003126677350604
clim-prec1,6,6,2.5401534333547486,2.362062039723276,inf,0.005755519327496494,0.03003126677350604
clim-pet6,9,8,3.810230150032123,2.0996107019762453,10.900031254185828,0.005789159859952972,0.03003126677350604
clim-tmax11,9,8,3.810230150032123,2.0996107019762453,10.900031254185828,0.005789159859952972,0.03003126677350604
clim-tmax4,9,8,3.810230150032123,2.0996107019762453,10.900031254185828,0.005789159859952972,0.03003126677350604
LRDpMR0,14,11,5.927024677827746,1.8559058883540027,4.996189455508916,0.006581642437621837,0.033107655898340145
clim-bio1,16,12,6.773742488945996,1.771546529792457,4.08783994998437,0.008431186228786301,0.041037142449691484
clim-tmin5,11,9,4.656947961150372,1.932596214319044,6.131340417931773,0.009235597325775191,0.041037142449691484
clim-tmax5,11,9,4.656947961150372,1.932596214319044,6.131340417931773,0.009235597325775191,0.041037142449691484
clim-bio11,11,9,4.656947961150372,1.932596214319044,6.131340417931773,0.009235597325775191,0.041037142449691484
Mean(LRR) CK,8,7,3.386871244472998,2.0668042847578665,9.537101526922047,0.012271565086814646,0.041037142449691484
clim-bio6,8,7,3.386871244472998,2.0668042847578665,9.537101526922047,0.012271565086814646,0.041037142449691484
aLRLpMRL75,8,7,3.386871244472998,2.0668042847578665,9.537101526922047,0.012271565086814646,0.041037142449691484
YEL ,8,7,3.386871244472998,2.0668042847578665,9.537101526922047,0.012271565086814646,0.041037142449691484
Co59,8,7,3.386871244472998,2.0668042847578665,9.537101526922047,0.012271565086814646,0.041037142449691484
aLRLpMRL0,8,7,3.386871244472998,2.0668042847578665,9.537101526922047,0.012271565086814646,0.041037142449691484
clim-bio14,8,7,3.386871244472998,2.0668042847578665,9.537101526922047,0.012271565086814646,0.041037142449691484
clim-gs7,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
clim-bio19,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
M216T665,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
FT Field,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
M172T666,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
clim-aet10,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
clim-pet9,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
M130T666,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
Mean(TLRL) CK,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
Storage 7 days,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
Zn66,5,5,2.1167945277956237,2.362062039723276,inf,0.013596643582729107,0.041037142449691484
clim-tmax12,10,8,4.233589055591247,1.8896496317786209,5.449837031745323,0.01813712926672665,0.05017939097127706
clim-tmax10,10,8,4.233589055591247,1.8896496317786209,5.449837031745323,0.01813712926672665,0.05017939097127706
clim-bio5,10,8,4.233589055591247,1.8896496317786209,5.449837031745323,0.01813712926672665,0.05017939097127706
Mean(LRD P) C,10,8,4.233589055591247,1.8896496317786209,5.449837031745323,0.01813712926672665,0.05017939097127706
clim-tmin8,10,8,4.233589055591247,1.8896496317786209,5.449837031745323,0.01813712926672665,0.05017939097127706
SDV,12,9,5.080306866709497,1.7715465297924569,4.087426326129666,0.023051525454748912,0.0626674192465287
clim-bio9,7,6,2.963512338913873,2.024624605477094,8.174293495245324,0.02567099101665031,0.0626674192465287
clim-bio15,7,6,2.963512338913873,2.024624605477094,8.174293495245324,0.02567099101665031,0.0626674192465287
clim-bio17,7,6,2.963512338913873,2.024624605477094,8.174293495245324,0.02567099101665031,0.0626674192465287
clim-pet2,7,6,2.963512338913873,2.024624605477094,8.174293495245324,0.02567099101665031,0.0626674192465287
clim-gs5,7,6,2.963512338913873,2.024624605477094,8.174293495245324,0.02567099101665031,0.0626674192465287
rFitness mlp,7,6,2.963512338913873,2.024624605477094,8.174293495245324,0.02567099101665031,0.0626674192465287
Mean(LR.no) ABA,7,6,2.963512338913873,2.024624605477094,8.174293495245324,0.02567099101665031,0.0626674192465287
Mean(LRR) C,14,10,5.927024677827746,1.6871871712309114,3.4062290689886137,0.027042907646435393,0.06505974883055471
clim-pet8,9,7,3.810230150032123,1.8371593642292146,4.768394499508885,0.034959983380830555,0.07949804440024483
clim-tmax8,9,7,3.810230150032123,1.8371593642292146,4.768394499508885,0.034959983380830555,0.07949804440024483
RGR Zn norm,9,7,3.810230150032123,1.8371593642292146,4.768394499508885,0.034959983380830555,0.07949804440024483
clim-tmin1,9,7,3.810230150032123,1.8371593642292146,4.768394499508885,0.034959983380830555,0.07949804440024483
clim-bio10,11,8,4.656947961150372,1.717863301616928,3.6331056242651547,0.04187454777593052,0.09146282803690088
rSurvival fruit mhi,11,8,4.656947961150372,1.717863301616928,3.6331056242651547,0.04187454777593052,0.09146282803690088
root length day004 minusZn,11,8,4.656947961150372,1.717863301616928,3.6331056242651547,0.04187454777593052,0.09146282803690088
clim-aet1,13,9,5.503665772268621,1.635273719808422,3.065469280228612,0.046955091751904716,0.09739084407306779
clim-cyclelength,13,9,5.503665772268621,1.635273719808422,3.065469280228612,0.046955091751904716,0.09739084407306779
Se82,13,9,5.503665772268621,1.635273719808422,3.065469280228612,0.046955091751904716,0.09739084407306779
clim-tmin2,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
clim-bio4,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
clim-aet7,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
DTF sweden 2009 (1st experiment),6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
Basal125,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
DTFplantingSummer2009,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
LD,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
clim-gs6,6,5,2.5401534333547486,1.96838503310273,6.8116071428571425,0.052802264858892174,0.09739084407306779
