ion_trait,n_ion_snps,n_shared_with_spaceflight,overlap_fraction
Co59,25,0,0.0
As75,3,0,0.0
Mo98,25,0,0.0
M216T665,25,25,0.8064516129032258
M130T666,25,23,0.7419354838709677
M172T666,25,25,0.8064516129032258
