ecotype,elevation_m,latitude,n_photo_de_genes,mean_log2FC,median_log2FC
Col-0,209.0,38.3,29,-0.7039488545606916,-0.525162710930267
Cvi-0,279.0,15.1111,20,1.1422846099879738,1.30628726165821
Ws-2,135.0,52.3,15,1.0759431742570509,1.22693015074989
Ler-0,618.0,47.984,5,0.35522767664027455,0.772982546415572
