model,term,coefficient,std_err,pvalue,ci_lower,ci_upper
predicted_response_score,Intercept,0.7206392061235611,0.02850729415795485,1.1377391839897998e-108,0.664695987689177,0.7765824245579452
predicted_response_score,C(group_clean)[T.asia],-0.153325164921939,0.010898627904282818,4.87917608160481e-41,-0.17471282515044345,-0.13193750469343457
predicted_response_score,C(group_clean)[T.central_europe],-0.013942153108864807,0.008688799603108102,0.10890537532151649,-0.030993207180709366,0.003108900962979751
predicted_response_score,C(group_clean)[T.germany],-0.0012209028592099352,0.00857628939356588,0.8868269097894997,-0.01805116490520863,0.015609359186788758
predicted_response_score,C(group_clean)[T.italy_balkan_caucasus],-0.022229837100609256,0.010857750189542844,0.04089122227469026,-0.04353727817845962,-0.0009223960227588909
predicted_response_score,C(group_clean)[T.north_sweden],0.0725525670844219,0.013558090707490745,1.0907589076992358e-07,0.045945929997096076,0.09915920417174773
predicted_response_score,C(group_clean)[T.relict],0.025704002655928017,0.015875824005800898,0.10575885642123731,-0.005450995263596568,0.0568590005754526
predicted_response_score,C(group_clean)[T.south_sweden],0.02367023038445609,0.009525535295102947,0.013125921868422527,0.004977151386298031,0.04236330938261415
predicted_response_score,C(group_clean)[T.spain],0.031579422013421427,0.009741412864589264,0.0012284581660571942,0.0124627010533872,0.05069614297345565
predicted_response_score,C(group_clean)[T.western_europe],0.03321371089935512,0.009205653306305031,0.0003243926448194179,0.015148373975677792,0.05127904782303244
predicted_response_score,elevation_m,-1.2243370681817282e-05,5.6724742675497916e-06,0.03114335769187895,-2.337513454739656e-05,-1.111606816238005e-06
predicted_response_score,latitude,-0.002501890580721365,0.0005617445091072296,9.419896716046593e-06,-0.0036042679443243704,-0.00139951321711836
predicted_response_score,_MODEL_R2,0.34903341633646223,0.3416360687948311,1.2214472129083723e-82,,
genetic_diversity,Intercept,31.20991712137466,4.183944519895669,1.9297613798761999e-13,22.99927036910991,39.42056387363941
genetic_diversity,C(group_clean)[T.asia],3.3211333403075343,1.599564456796466,0.038132084649506605,0.18211974923785057,6.460146931377218
genetic_diversity,C(group_clean)[T.central_europe],-0.745466303021562,1.2752334641957424,0.5589714772887487,-3.2480070158317758,1.7570744097886517
genetic_diversity,C(group_clean)[T.germany],0.5236984750422596,1.258720621130448,0.6774611277128227,-1.9464371423753177,2.9938340924598372
genetic_diversity,C(group_clean)[T.italy_balkan_caucasus],-1.2749292121600833,1.59356493647635,0.42387899746631763,-4.402169238404214,1.852310814084048
genetic_diversity,C(group_clean)[T.north_sweden],4.134513822992225,1.9898871847163737,0.03799430650387684,0.22952400468264855,8.0395036413018
genetic_diversity,C(group_clean)[T.relict],1.9075200062773061,2.330055124834201,0.41318262736170097,-2.6650213963020044,6.480061408856617
genetic_diversity,C(group_clean)[T.south_sweden],1.9722038095185648,1.3980390764620347,0.1586564567181797,-0.7713328095995224,4.715740428636652
genetic_diversity,C(group_clean)[T.spain],1.082028567861744,1.4297228893422071,0.44934786388770676,-1.72368492623327,3.887742061956758
genetic_diversity,C(group_clean)[T.western_europe],2.2197930687049037,1.3510907941512456,0.10071521195478345,-0.4316114105517541,4.871197547961561
genetic_diversity,elevation_m,-0.0012940791214358831,0.0008325349117478925,0.12041966240055875,-0.0029278603622684704,0.00033970211939670443
genetic_diversity,latitude,-0.1665822182898994,0.08244584166557357,0.04360602067691731,-0.3283753966865516,-0.004789039893247193
genetic_diversity,_MODEL_R2,0.016699685095869055,0.005525817881049333,0.12768866207293333,,
